Linje;Period;År;Måned;Antall
8462;2023/05;2023;5;209
8462;2023/06;2023;6;140
8462;2023/08;2023;8;129
8462;2023/09;2023;9;301
8463;2023/01;2023;1;867
8463;2023/02;2023;2;601
8463;2023/03;2023;3;835
8463;2023/04;2023;4;521
8463;2023/05;2023;5;575
8463;2023/06;2023;6;294
8463;2023/08;2023;8;338
8463;2023/09;2023;9;824
8501;2023/01;2023;1;2 044
8501;2023/02;2023;2;1 291
8501;2023/03;2023;3;2 036
8501;2023/04;2023;4;1 165
8501;2023/05;2023;5;1 606
8501;2023/06;2023;6;744
8501;2023/08;2023;8;654
8501;2023/09;2023;9;1 664
8502;2023/01;2023;1;1 164
8502;2023/02;2023;2;818
8502;2023/03;2023;3;1 378
8502;2023/04;2023;4;752
8502;2023/05;2023;5;946
8502;2023/06;2023;6;582
8502;2023/08;2023;8;548
8502;2023/09;2023;9;1 169
8504;2023/01;2023;1;802
8504;2023/02;2023;2;451
8504;2023/03;2023;3;598
8504;2023/04;2023;4;359
8504;2023/05;2023;5;402
8504;2023/06;2023;6;182
8504;2023/08;2023;8;237
8504;2023/09;2023;9;588
8506;2023/01;2023;1;3 838
8506;2023/02;2023;2;3 498
8506;2023/03;2023;3;4 051
8506;2023/04;2023;4;2 436
8506;2023/05;2023;5;2 939
8506;2023/06;2023;6;2 355
8506;2023/07;2023;7;1 350
8506;2023/08;2023;8;1 709
8506;2023/09;2023;9;1 842
8507;2023/01;2023;1;420
8507;2023/02;2023;2;241
8507;2023/03;2023;3;352
8507;2023/04;2023;4;184
8507;2023/05;2023;5;245
8507;2023/06;2023;6;99
8507;2023/08;2023;8;130
8507;2023/09;2023;9;301
8508;2023/08;2023;8;230
8508;2023/09;2023;9;767
8601;2023/01;2023;1;2 584
8601;2023/02;2023;2;2 057
8601;2023/03;2023;3;2 844
8601;2023/04;2023;4;1 958
8601;2023/05;2023;5;2 163
8601;2023/06;2023;6;1 496
8601;2023/07;2023;7;718
8601;2023/08;2023;8;1 532
8601;2023/09;2023;9;2 314
8602;2023/01;2023;1;455
8602;2023/02;2023;2;302
8602;2023/03;2023;3;437
8602;2023/04;2023;4;280
8602;2023/05;2023;5;324
8602;2023/06;2023;6;205
8602;2023/07;2023;7;9
8602;2023/08;2023;8;162
8602;2023/09;2023;9;345
8603;2023/01;2023;1;1 663
8603;2023/02;2023;2;1 159
8603;2023/03;2023;3;1 836
8603;2023/04;2023;4;1 090
8603;2023/05;2023;5;1 303
8603;2023/06;2023;6;769
8603;2023/07;2023;7;103
8603;2023/08;2023;8;735
8603;2023/09;2023;9;1 595
8604;2023/01;2023;1;253
8604;2023/02;2023;2;178
8604;2023/03;2023;3;273
8604;2023/04;2023;4;177
8604;2023/05;2023;5;239
8604;2023/06;2023;6;137
8604;2023/08;2023;8;109
8604;2023/09;2023;9;225
8605;2023/01;2023;1;311
8605;2023/02;2023;2;223
8605;2023/03;2023;3;371
8605;2023/04;2023;4;260
8605;2023/05;2023;5;303
8605;2023/06;2023;6;175
8605;2023/08;2023;8;86
8605;2023/09;2023;9;232
8606;2023/01;2023;1;1 235
8606;2023/02;2023;2;837
8606;2023/03;2023;3;1 391
8606;2023/04;2023;4;819
8606;2023/05;2023;5;997
8606;2023/06;2023;6;552
8606;2023/08;2023;8;487
8606;2023/09;2023;9;1 120
8607;2023/01;2023;1;3 895
8607;2023/02;2023;2;2 887
8607;2023/03;2023;3;4 206
8607;2023/04;2023;4;2 594
8607;2023/05;2023;5;3 262
8607;2023/06;2023;6;2 152
8607;2023/07;2023;7;910
8607;2023/08;2023;8;2 113
8607;2023/09;2023;9;3 994
8609;2023/01;2023;1;4 885
8609;2023/02;2023;2;4 163
8609;2023/03;2023;3;5 391
8609;2023/04;2023;4;3 868
8609;2023/05;2023;5;4 731
8609;2023/06;2023;6;4 293
8609;2023/07;2023;7;4 523
8609;2023/08;2023;8;3 953
8609;2023/09;2023;9;4 497
8610;2023/01;2023;1;363
8610;2023/02;2023;2;224
8610;2023/03;2023;3;351
8610;2023/04;2023;4;223
8610;2023/05;2023;5;294
8610;2023/06;2023;6;132
8610;2023/08;2023;8;91
8610;2023/09;2023;9;254
8701;2023/01;2023;1;1 050
8701;2023/02;2023;2;843
8701;2023/03;2023;3;1 169
8701;2023/04;2023;4;658
8701;2023/05;2023;5;889
8701;2023/06;2023;6;622
8701;2023/07;2023;7;383
8701;2023/08;2023;8;804
8701;2023/09;2023;9;1 144
8702;2023/01;2023;1;580
8702;2023/02;2023;2;437
8702;2023/03;2023;3;667
8702;2023/04;2023;4;379
8702;2023/05;2023;5;418
8702;2023/06;2023;6;297
8702;2023/08;2023;8;218
8702;2023/09;2023;9;437
8710;2023/01;2023;1;1 125
8710;2023/02;2023;2;1 036
8710;2023/03;2023;3;2 149
8710;2023/04;2023;4;2 079
8710;2023/05;2023;5;2 205
8710;2023/06;2023;6;1 865
8710;2023/07;2023;7;1 275
8710;2023/08;2023;8;1 238
8710;2023/09;2023;9;2 588
8711;2023/01;2023;1;3 067
8711;2023/02;2023;2;2 507
8711;2023/03;2023;3;3 316
8711;2023/04;2023;4;4 103
8711;2023/05;2023;5;5 222
8711;2023/06;2023;6;7 292
8711;2023/07;2023;7;15 597
8711;2023/08;2023;8;7 592
8711;2023/09;2023;9;4 265
8712;2023/01;2023;1;5 735
8712;2023/02;2023;2;5 911
8712;2023/03;2023;3;6 957
8712;2023/04;2023;4;14 209
8712;2023/05;2023;5;16 491
8712;2023/06;2023;6;16 470
8712;2023/07;2023;7;37 358
8712;2023/08;2023;8;14 883
8712;2023/09;2023;9;10 563
8801;2023/01;2023;1;1 657
8801;2023/02;2023;2;1 183
8801;2023/03;2023;3;1 833
8801;2023/04;2023;4;1 042
8801;2023/05;2023;5;1 019
8801;2023/06;2023;6;444
8801;2023/08;2023;8;538
8801;2023/09;2023;9;1 610
8802;2023/01;2023;1;9
8802;2023/02;2023;2;11
8802;2023/03;2023;3;1
8802;2023/04;2023;4;5
8802;2023/05;2023;5;46
8802;2023/08;2023;8;70
8802;2023/09;2023;9;116
8803;2023/01;2023;1;693
8803;2023/02;2023;2;600
8803;2023/03;2023;3;1 524
8803;2023/04;2023;4;1 130
8803;2023/05;2023;5;1 453
8803;2023/06;2023;6;761
8803;2023/08;2023;8;1 407
8803;2023/09;2023;9;3 496
8804;2023/01;2023;1;1 689
8804;2023/02;2023;2;1 057
8804;2023/03;2023;3;1 739
8804;2023/04;2023;4;946
8804;2023/05;2023;5;1 226
8804;2023/06;2023;6;699
8804;2023/08;2023;8;754
8804;2023/09;2023;9;1 702
8805;2023/01;2023;1;3 131
8805;2023/02;2023;2;1 983
8805;2023/03;2023;3;3 257
8805;2023/04;2023;4;1 808
8805;2023/05;2023;5;1 850
8805;2023/06;2023;6;585
8805;2023/08;2023;8;1 129
8805;2023/09;2023;9;2 102
8806;2023/01;2023;1;1 983
8806;2023/02;2023;2;1 279
8806;2023/03;2023;3;1 949
8806;2023/04;2023;4;1 154
8806;2023/05;2023;5;1 145
8806;2023/06;2023;6;546
8806;2023/08;2023;8;917
8806;2023/09;2023;9;1 790
8807;2023/01;2023;1;489
8807;2023/02;2023;2;345
8807;2023/03;2023;3;584
8807;2023/04;2023;4;288
8807;2023/05;2023;5;398
8807;2023/06;2023;6;263
8807;2023/08;2023;8;202
8807;2023/09;2023;9;537
8808;2023/01;2023;1;735
8808;2023/02;2023;2;551
8808;2023/03;2023;3;802
8808;2023/04;2023;4;480
8808;2023/05;2023;5;507
8808;2023/06;2023;6;233
8808;2023/08;2023;8;373
8808;2023/09;2023;9;969
8810;2023/01;2023;1;540
8810;2023/02;2023;2;364
8810;2023/03;2023;3;532
8810;2023/04;2023;4;255
8810;2023/05;2023;5;310
8810;2023/06;2023;6;61
8810;2023/08;2023;8;67
8810;2023/09;2023;9;250
8811;2023/01;2023;1;816
8811;2023/02;2023;2;552
8811;2023/03;2023;3;736
8811;2023/04;2023;4;352
8811;2023/05;2023;5;453
8811;2023/06;2023;6;135
8811;2023/08;2023;8;342
8811;2023/09;2023;9;968
8812;2023/01;2023;1;153
8812;2023/02;2023;2;105
8812;2023/03;2023;3;188
8812;2023/04;2023;4;84
8812;2023/05;2023;5;157
8812;2023/06;2023;6;71
8812;2023/08;2023;8;76
8812;2023/09;2023;9;153
8814;2023/01;2023;1;856
8814;2023/02;2023;2;497
8814;2023/03;2023;3;758
8814;2023/04;2023;4;376
8814;2023/05;2023;5;352
8814;2023/06;2023;6;85
8814;2023/08;2023;8;331
8814;2023/09;2023;9;892
8815;2023/01;2023;1;263
8815;2023/02;2023;2;211
8815;2023/03;2023;3;281
8815;2023/04;2023;4;134
8815;2023/05;2023;5;151
8815;2023/06;2023;6;17
8815;2023/08;2023;8;42
8815;2023/09;2023;9;190
8816;2023/01;2023;1;738
8816;2023/02;2023;2;476
8816;2023/03;2023;3;696
8816;2023/04;2023;4;405
8816;2023/05;2023;5;443
8816;2023/06;2023;6;116
8816;2023/08;2023;8;232
8816;2023/09;2023;9;770
8817;2023/01;2023;1;938
8817;2023/02;2023;2;658
8817;2023/03;2023;3;727
8817;2023/04;2023;4;388
8817;2023/05;2023;5;457
8817;2023/06;2023;6;112
8817;2023/08;2023;8;259
8817;2023/09;2023;9;807
8818;2023/01;2023;1;849
8818;2023/02;2023;2;519
8818;2023/03;2023;3;832
8818;2023/04;2023;4;435
8818;2023/05;2023;5;448
8818;2023/06;2023;6;124
8818;2023/08;2023;8;395
8818;2023/09;2023;9;990
8819;2023/01;2023;1;1 408
8819;2023/02;2023;2;721
8819;2023/03;2023;3;1 150
8819;2023/04;2023;4;537
8819;2023/05;2023;5;643
8819;2023/06;2023;6;127
8819;2023/08;2023;8;503
8819;2023/09;2023;9;1 178
8820;2023/01;2023;1;360
8820;2023/02;2023;2;248
8820;2023/03;2023;3;360
8820;2023/04;2023;4;243
8820;2023/05;2023;5;252
8820;2023/06;2023;6;128
8820;2023/08;2023;8;79
8820;2023/09;2023;9;211
8822;2023/01;2023;1;1
8822;2023/04;2023;4;4
8822;2023/05;2023;5;2
8822;2023/08;2023;8;3
8822;2023/09;2023;9;10
8881;2023/01;2023;1;2 503
8881;2023/02;2023;2;1 893
8881;2023/03;2023;3;3 005
8881;2023/04;2023;4;1 862
8881;2023/05;2023;5;2 230
